"YEAR","Model_SE_LE","Transm","Engine","TYPE_A","Cond","Color","Auction","Price","Odometer","Model_SE","AutoTrans","AGE","Cyl6","CondBelow","CondAbove","AucType","BLACK","WHITE","RED","BLUE","SILVER","BEIGE","GREEN","GOLD","California","SEATTLE","DALLAS","ORLANDO","Pennsylvan","OHIO"
2011,"4D SEDAN SE","A",6,"Open","Above","GRAY","NorthCarol",9280,117769,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"4D SEDAN SE","A",4,"Open","Avg","BLACK","OHIO",18885,9350,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,"4D SEDAN SE","A",4,"Open","Avg","GRAY","ORLANDO",14060,55580,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,"4D SEDAN LE","A",4,"Open","Avg","RED","BALTWASH",8780,72140,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,"4D SEDAN SE","A",6,"Open","Avg","WHITE","BALTWASH",15950,30191,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,"4D SEDAN SE","A",4,"Open","Above","RED","SEATTLE",12640,79460,1,1,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2014,"4D SEDAN LE","A",4,"Closed","Avg","WHITE","BALTWASH",13730,21275,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","M",4,"Closed","Avg","SILVER","Pennsylvan",14190,37450,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2011,"4D SEDAN LE","A",4,"Open","Avg","RED","ORLANDO",8870,55040,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2010,"4D SEDAN LE","A",4,"Open","Avg","GRAY","NEWENGLD",7400,120850,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"4D SEDAN SE","A",6,"Open","Above","BLACK","OHIO",16235,27192,1,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
